Kod;Nazwa
M0108-014;PLANDEKA SIOEN B6335/7999/300CM SPILLAGE CZARNA 1350GR
M0108-015;PLANDEKA SIOEN B6353/7024/250CM SZARA PIANKA 3MM 1450gr
M0108-016;PLANDEKA SIOEN B6756/7165/245CM JASNOSZARA 1400GR KUHN RAL7037
M0109-001;PLANDEKA MEHLER 7807/7812 5340 905905 CZARNE WZMOCNIENIE grubość 3mm
M0109-004;PLANDEKA MEHLER 7807 5340 100CM 905905 CZARNE WZMOCNIENIE ZAMIENNIK 7812 i 7809
M0109-007;PLANDEKA MEHLER 7812 5340 062CM 905905 CZARNE WZMOCNIENIE ZAMIENNIK 7812 i 7809
M0109-010;PLANDEKA SIOEN B6756/2905/245CM POMARAŃCZOWA 1400gr Kverneland RGB 188-071-045
M0109-011;PLANDEKA SIOEN B6756/3053/245CM CZERWONA 1400gr Kverneland RAL 3000
M0109-012;PLANDEKA SIOEN B6756/6229/245CM ZIELONA 1400gr Kverneland RAL 6016
M0109-013;PLANDEKA SIOEN B6756/7107/245CM CZARNOSZARA 1400gr Kverneland RAL 7021
M0109-014;PLANDEKA SIOEN B6756/7999/245CM CZARNA 1400gr Kverneland RAL 9005
M0109-016;PLANDEKA RESZTKI KVERNALAND NA WZMOCNIENIA (CZARNY LUB SZARY)
M0109-018;PLANDEKA CHINA KVERNELAND 1400GR ZIELONY 300CM FR LAKIEROWANY DWUSTRONNIE
M0110-001;PLANDEKA CZARNA SIATKA Job:BUTCHERS BICYCLES  Cesco  NET- DUG 350G/M2 320 CM SORT
M0110-002;PLANDEKA HEYTEX H5071-0290 BIAŁA SIATKA Pressalit / PO:40850-1 / Job:80480
M0110-003;PLANDEKA HEYTEX SIATKA GRILLATIM 430 BLANC 01 9003 300, Job:Pressalit, białe nosze - zła siatka za duże oczko nie uzywamy
M0110-004;PLANDEKA HEYTEX H5043-9005 SIATKA CZARNA duże oczka MAGNASCRIM WIDTH 200CM (KROJENIE RĘCZNE T2)
M0110-005;PLANDEKA MEHLER 7908 5300 302CM 905905 CZARNA SIATKA 450gr/m2 [UWAGA, UŻYĆ ZAMIAST M0110-011]
M0110-006;PLANDEKA MEHLER 7915 5300 250CM 763763 SZARA SIATKA 295gr/m2
M0110-007;PLANDEKA MEHLER 7915 5300 250CM 905905 CZARNA SIATKA 295gr/m2
M0110-008;PLANDEKA MEHLER 7915 5300 302CM 682682 ZIELONA SIATKA 295gr/m2
M0110-009;PLANDEKA MEHLER 7915 5300 370CM 905905 CZARNA SIATKA 295gr/m2
M0110-010;PLANDEKA MEHLER 7916 5300 250CM 682682 ZIELONA SIATKA 265gr/m2
M0110-011;PLANDEKA MEHLER 7916 5300 250CM 905905 CZARNA SIATKA 265gr/m2 [UWAGA!! NAJPIERW WYKORZYSTAĆ M0110-005,M0110-024 LUB M0110-017]
M0110-012;PLANDEKA MEHLER 7916 5300 370CM 682682 ZIELONA SIATKA 265gr/m2
M0110-013;PLANDEKA MEHLER 7916 5300 370CM 905905 CZARNA SIATKA 265gr/m2 [UWAGA, UŻYĆ M0110-028]
M0110-014;PLANDEKA MEHLER 7917 5300 250CM 905905 CZARNA SIATKA 295gr/m2 TRUDOPALNA
M0110-015;PLANDEKA MEHLER 7920 5300 250CM 682682 ZIELONA SIATKA 180gr/m2
M0110-016;PLANDEKA NAIZIL SIATKA BIAŁA TX515320429 DAT-SCHAUB
M0110-017;PLANDEKA SIOEN W50500690/0020/210CM SIATKA CZARNA MAŁA KRATKA ROLKA 100MTR 250gr  [UWAGA, UŻYĆ ZAMIAST M0110-011]
M0110-018;PLANDEKA SIOEN W50500690/0020/320CM SIATKA CZARNA MAŁA KRATKA ROLKA 100MTR
M0110-019;PLANDEKA SIOEN W505021P9/0011/210CM SIATKA BIAŁA MAŁA KRATKA ROLKA 50MTR PRESSALIT 250gr
M0110-020;PLANDEKA SIOEN M9919 W909011H5/0020/200CM SIATKA CZARNA ROLKA 50MTR 250gr [NOWE OZNACZENIE - EUROMAX-PROTECT/0020/200]
M0110-021;PLANDEKA VERSEIDAG B3127/320CM/024 BIAŁA SIATKA
M0110-022;SIATKA 100CM KOL. BIAŁY
M0110-023;PLANDEKA SIOEN W505021P9/0011/320CM SIATKA BIAŁA MAŁA KRATKA PRESSALIT [UWAGA, PO ZUŻYCIU PRZECHODZIMY NA M0110-027]
M0110-024;PLANDEKA NAIZIL SIATKA CZARNA 320X50  [UWAGA, UŻYĆ ZAMIAST M0110-011]
M0110-026;PLANDEKA HEYTEX H5024-0297 BIAŁA SIATKA 320 CM ARKTICO
M0110-027;PLANDEKA SIOEN W505021P9/0011/210CM SIATKA BIAŁA MAŁA KRATKA PRESSALIT
M0110-028;PLANDEKA SIATKA CHINA 360CM CZARNA 340GR/M2 [ZAMIENNIK ZA M0110-013]
M0110-029;PLANDEKA SERGE FERRARI SIATKA BIAŁA B3131 col.024 szerokości 320 cm
M0111-001;PLANDEKA FOLIA PRZEZROCZYSTA CLEAR 0,1mm 135cm Job:68992 RC Advice Marzena
M0111-002;FOLIA PRZEZROCZYSTA CLEAR 0,3MM NA OKIENKA
M0111-003;PLANDEKA FOLIA PRZEZROCZYSTA CLEAR 0,3MM NA OKIENKA - do SIEMENS folia Temporary protective covers
M0111-004;PLANDEKA FOLIA PRZEZROCZYSTA CLEAR 0,4MM NA OKIENKA DO WÓZKÓW Job:BUTCHERS BICYCLES
